Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2006,56,21.4,15.4,74,82.8,29.8,58.8,34.1,66.6,29.2,32,25.4,525.5
2007,74.4,48.2,24.6,23.4,67.2,77.8,118.6,53,59.8,43,122.6,46.4,759
2008,12.8,22.6,25.6,26.8,51,54.6,85.6,96.8,49,16.4,44.6,80.3,566.1
2009,3.4,1,63.2,58.2,36.2,50.4,93,127.2,88.8,44.8,55.2,44.6,666
2010,38.8,47.8,55.8,65.8,43.8,62.2,50.6,155.6,82.6,101.2,76.6,42.6,823.4
2011,124.2,41.4,39.6,24.6,53.8,64.8,118.8,49,45,88,76,14.2,739.4
2012,32.2,259,77.8,49.6,67,152.8,94.4,143.4,89.6,32.2,30.2,40.6,1068.8
2013,1.6,19,15.1,18.2,65.6,118,88.6,160.8,84.4,100.4,47,40.6,759.3
2014,37.6,9.4,27.8,83.8,51.8,120,95.2,45.4,31,30,47,41.6,620.6
2015,78,50.2,43.8,29.8,72.8,58.2,58.6,54.2,50,10.2,37.6,24.4,567.8
2016,54.2,20.2,29.8,27.2,119.2,78.2,164.2,87.8,113.8,139.4,27.8,43.2,905
2017,47.8,37.6,40.7,140.2,55.8,27.8,83.4,90.6,122,40.9,35.6,28.6,751
2018,17.4,10.6,37.2,35.4,100.6,91.2,104.4,98.4,37.2,39.8,54.2,71.8,698.2
2019,2.6,32.4,30.6,17.8,142.2,102,78.8,89.2,45.4,59.8,60.6,27.2,688.6
2020,36,40.6,23.8,85.4,78,40.8,36,105.2,97.2,111,64.4,49.2,767.6
