TENURE,LU_DESC,HECTARES,LC_DESC_11,LC_DESC_10
PRIVATE,Detached Home,0.10117822,Unknown,Unknown
PRIVATE,Detached Home,0.14478150,Unknown,Unknown
PRIVATE,Detached Home,0.20510486,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.84772447,Unknown,Unknown
PRIVATE,Detached Home,1.21024263,Unknown,Unknown
PRIVATE,Detached Home,0.84772469,Unknown,Unknown
PUBLIC,Forest Reserves - Public,0.63541046,Unknown,Unknown
PUBLIC,National Park - Land,72.39988363,Native woody cover,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),16.01023306,Pasture and grassland,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),12.58622289,Pasture and grassland,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),12.11220828,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),17.34537339,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),20.23780291,Pasture and grassland,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),13.46969571,Pasture and grassland,Pasture and grassland
PRIVATE,Unclassified Private Land,0.86342284,Unknown,Unknown
PRIVATE,Unclassified Private Land,16.82316271,Softwood Plantation,Pasture and grassland
