TENURE,LU_DESC,HECTARES,LC_DESC_11,LC_DESC_10
PRIVATE,Livestock Production (Dairy Cattle),34.88743585,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),62.59989167,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),42.72093118,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),45.27470481,Pasture and grassland,Pasture and grassland
PUBLIC,Forest Reserves - Public,133.57979593,Native woody cover,Native woody cover
PUBLIC,Reserved Land,166.96442158,Softwood Plantation,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),27.79612068,Pasture and grassland,Pasture and grassland
PUBLIC,Forest Reserves - Public,3.57375376,Unknown,Unknown
PUBLIC,Forest Reserves - Public,186.14208868,Native woody cover,Native woody cover
PUBLIC,Community Service Facilities or Other,2.09163431,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.21796371,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),23.29533276,Pasture and grassland,Pasture and grassland
PUBLIC,Reserved Land,1.06174947,Unknown,Unknown
PUBLIC,Forest Reserves - Public,19.31342038,Native woody cover,Pasture and grassland
PUBLIC,"Unspecified - Transport, Storage, Utilities and Communication",3.36410376,Unknown,Unknown
PUBLIC,Forest Reserves - Public,2.07510713,Unknown,Unknown
PUBLIC,Forest Reserves - Public,112.23291612,Native woody cover,Native woody cover
PUBLIC,Forest Reserves - Public,5.84701075,Unknown,Unknown
PUBLIC,Forest Reserves - Public,30.07925063,Native woody cover,Native woody cover
PUBLIC,Forest Reserves - Public,0.22361938,Unknown,Unknown
PUBLIC,Forest Reserves - Public,0.32364813,Unknown,Unknown
PUBLIC,Forest Reserves - Public,2.15882679,Unknown,Unknown
PUBLIC,Forest Reserves - Public,1.43167975,Unknown,Unknown
PUBLIC,Forest Reserves - Public,31.60386120,Native woody cover,Native woody cover
PUBLIC,Forest Reserves - Public,6.41940867,Unknown,Unknown
PRIVATE,Detached Home,0.38541658,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),6.69236184,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),32.03107501,Softwood Plantation,Unknown
PUBLIC,Forest Reserves - Public,0.49199528,Unknown,Unknown
PUBLIC,Forest Reserves - Public,10.68428331,Unknown,Unknown
PUBLIC,Forest Reserves - Public,0.03708934,Unknown,Unknown
PUBLIC,Forest Reserves - Public,75.48088585,Native woody cover,Native woody cover
PRIVATE,Livestock Production (Dairy Cattle),26.29048240,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),0.93810571,Unknown,Unknown
PUBLIC,Forest Reserves - Public,0.30950580,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),6.59150854,Unknown,Unknown
PUBLIC,Forest Reserves - Public,0.42969719,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),25.42775374,Softwood Plantation,Pasture and grassland
PUBLIC,Forest Reserves - Public,3.33889044,Unknown,Unknown
PUBLIC,Reserved Land,0.06658069,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),2.39179447,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,1.73638645,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),5.18821037,Unknown,Unknown
PRIVATE,Detached Home,0.20008468,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),4.51390179,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),4.09607030,Unknown,Unknown
